ID,raw-FT16
8367,50
8367,56
8367,56
8370,42
8370,39
8370,41
8370,41
8372,84
8372,75
8372,61
8372,74
8373,57
8373,59
8373,56
8375,63
8375,61
8375,69
8375,64
8378,51
8378,53
8378,47
8379,49
8379,56
8379,46
8420,46
8420,46
8420,51
8420,47
9758,64
9758,75
9758,80
9759,59
9759,58
9760,39
9760,38
9760,38
9760,38
9761,58
9761,56
9761,59
9761,59
9762,74
9762,74
9762,71
9762,72
9764,60
9764,58
9764,59
9764,74
9766,38
9766,41
9767,57
9767,61
9767,59
9767,61
7164,62
7164,59
7164,56
7164,60
6008,42
6008,43
6008,43
6008,44
8233,77
8233,70
8233,69
8233,61
8235,63
8235,61
8235,80
8235,71
8236,78
8236,58
8236,58
8238,53
8238,55
8238,52
8238,49
8239,41
8239,42
8239,41
8239,46
8243,68
8243,66
8243,69
8243,70
8244,57
8244,58
8244,59
8244,60
8246,85
8246,72
8246,74
8246,75
991,98
991,110
991,110
991,109
992,111
992,92
992,106
992,91
997,87
997,87
997,90
997,86
1002,88
1002,86
1002,84
1002,87
1061,95
1061,94
1061,98
1061,92
1062,67
1062,67
1062,67
1062,72
1063,62
1063,67
1063,65
1063,63
1074,129
1074,76
1074,73
1074,85
1137,113
1137,123
1137,87
1158,85
1158,87
1158,97
1158,83
1254,118
1254,113
1254,87
1257,93
1257,108
1257,89
1257,83
1317,105
1317,99
1317,102
1318,103
1318,124
1318,142
1363,90
1363,83
1363,98
1363,113
1367,88
1367,91
1367,92
1367,84
1435,45
1435,46
1435,46
1552,134
1552,99
1552,113
1585,98
1585,90
1585,121
1585,104
5829,56
5829,52
5829,53
5830,71
5830,72
5830,83
5831,85
5831,100
5831,101
5831,86
5832,84
5832,87
5832,91
5835,42
5835,40
5835,41
5835,51
5865,98
5865,104
5865,101
6009,113
6009,114
6011,104
6011,121
6012,138
6012,112
6013,98
6013,82
6013,100
6013,92
6016,83
6016,84
6017,104
6020,90
6020,80
6020,87
6020,92
6021,87
6021,97
6021,84
6021,80
6023,93
6023,78
6023,96
6023,90
6024,133
6024,113
6024,116
6024,102
6030,134
6030,124
6034,83
6034,78
6035,70
6035,73
6035,74
6035,78
6036,94
6036,84
6036,81
6038,75
6038,74
6038,90
6038,70
6039,57
6039,67
6040,77
6040,88
6041,49
6041,53
6041,52
6041,52
6042,41
6042,45
6042,41
6042,45
6043,137
6043,124
6043,131
6046,117
6064,139
6064,120
6069,139
6070,123
6070,118
6070,117
6071,137
6071,142
6073,96
6073,101
6073,93
6073,96
6074,86
6074,82
6074,72
6074,103
6076,100
6076,139
6076,99
6076,104
6085,117
6085,139
6086,106
6086,98
6086,96
6086,103
6088,128
6090,106
6090,100
6090,109
6092,85
6092,87
6092,91
6092,95
6094,107
6094,118
6094,53
6097,85
6097,90
6097,99
6097,102
6098,99
6098,112
6098,109
6098,100
6099,113
6099,97
6099,131
6100,122
6100,95
6100,108
6102,90
6102,117
6104,103
6104,98
6104,120
6104,117
6105,84
6105,84
6105,95
6106,98
6106,94
6106,101
6106,86
6107,109
6107,114
6107,111
6107,87
6108,59
6108,50
6108,52
6108,50
6109,82
6109,102
6109,113
6111,98
6111,93
6111,90
6112,76
6112,76
6112,78
6112,77
6114,99
6114,92
6114,81
6114,96
6115,74
6115,75
6115,69
6115,81
6118,94
6118,99
6118,110
6118,94
6122,87
6122,90
6122,97
6122,86
6124,107
6124,105
6124,106
6125,98
6125,107
6125,109
6125,86
6126,90
6126,90
6126,87
6127,136
6127,120
6127,142
6128,99
6128,123
6128,117
6129,145
6129,117
6131,137
6132,100
6132,108
6132,100
6132,102
6133,91
6133,96
6133,89
6133,91
6134,97
6134,106
6134,98
6136,89
6136,81
6136,85
6136,83
6137,89
6137,91
6137,80
6137,91
6138,99
6138,85
6138,90
6138,89
6140,119
6140,113
6140,95
6140,86
6142,93
6142,120
6142,111
6142,106
6145,100
6145,123
6148,100
6148,108
6148,109
6149,93
6149,113
6149,99
6149,91
6150,109
6150,99
6150,97
6151,101
6151,99
6151,110
6153,116
6169,117
6169,110
6171,108
6172,114
6173,99
6173,100
6173,104
6174,128
6174,128
6177,119
6177,92
6180,42
6180,43
6180,42
6180,38
6184,110
6184,102
6184,99
6188,54
6188,53
6188,51
6188,56
6189,55
6189,54
6189,61
6191,59
6191,56
6191,60
6191,59
6192,59
6192,63
6192,67
6193,49
6193,57
6193,58
6193,54
6194,85
6194,100
6194,91
6194,90
6195,61
6195,62
6195,52
6195,61
6197,53
6197,59
6197,57
6197,67
6198,78
6198,107
6201,105
6201,99
6201,110
6201,98
6202,126
6202,137
6202,121
6203,123
6203,95
6203,141
6209,107
6210,116
6210,134
6217,127
6218,137
6220,117
6220,117
6220,118
6221,110
6237,109
6237,105
6237,113
6238,124
6240,129
6240,134
6240,114
6241,117
6241,118
6242,75
6242,67
6242,122
6242,82
6243,42
6243,44
6243,48
6243,41
6244,105
6244,101
6244,111
6244,116
6258,127
6258,116
6258,137
6268,137
6268,125
6268,124
6276,143
6284,129
6284,134
6413,99
6413,97
6413,87
